[22;0t]0;IPython: efyp/Baseline<class 'pandas.core.frame.DataFrame'>
RangeIndex: 44837 entries, 0 to 44836
Data columns (total 68 columns):
 #   Column         Non-Null Count  Dtype  
---  ------         --------------  -----  
 0   LOW_IMPACT     44837 non-null  bool   
 1   MID_IMPACT     44837 non-null  bool   
 2   BIG_IMPACT     44837 non-null  bool   
 3   DIRECT_STRIKE  44837 non-null  bool   
 4   MM00           44837 non-null  int32  
 5   DD00           44837 non-null  int32  
 6   HH00           44837 non-null  int32  
 7   MI_STATUS00    44837 non-null  bool   
 8   LI_STATUS00    44837 non-null  bool   
 9   SI_STATUS00    44837 non-null  bool   
 10  DS_STATUS00    44837 non-null  bool   
 11  DIST00         44837 non-null  float64
 12  AZM00          44837 non-null  float64
 13  SPEED00        44837 non-null  int32  
 14  DIR00          44837 non-null  int32  
 15  VMAX00         44837 non-null  int32  
 16  DVMAX00        44837 non-null  int32  
 17  MM06           44837 non-null  int32  
 18  DD06           44837 non-null  int32  
 19  HH06           44837 non-null  int32  
 20  MI_STATUS06    44837 non-null  bool   
 21  LI_STATUS06    44837 non-null  bool   
 22  SI_STATUS06    44837 non-null  bool   
 23  DS_STATUS06    44837 non-null  bool   
 24  DIST06         44837 non-null  float64
 25  AZM06          44837 non-null  float64
 26  SPEED06        44837 non-null  int32  
 27  DIR06          44837 non-null  int32  
 28  VMAX06         44837 non-null  int32  
 29  DVMAX06        44837 non-null  int32  
 30  MM12           44837 non-null  int32  
 31  DD12           44837 non-null  int32  
 32  HH12           44837 non-null  int32  
 33  MI_STATUS12    44837 non-null  bool   
 34  LI_STATUS12    44837 non-null  bool   
 35  SI_STATUS12    44837 non-null  bool   
 36  DS_STATUS12    44837 non-null  bool   
 37  DIST12         44837 non-null  float64
 38  AZM12          44837 non-null  float64
 39  SPEED12        44837 non-null  int32  
 40  DIR12          44837 non-null  int32  
 41  VMAX12         44837 non-null  int32  
 42  DVMAX12        44837 non-null  int32  
 43  MM18           44837 non-null  int32  
 44  DD18           44837 non-null  int32  
 45  HH18           44837 non-null  int32  
 46  MI_STATUS18    44837 non-null  bool   
 47  LI_STATUS18    44837 non-null  bool   
 48  SI_STATUS18    44837 non-null  bool   
 49  DS_STATUS18    44837 non-null  bool   
 50  DIST18         44837 non-null  float64
 51  AZM18          44837 non-null  float64
 52  SPEED18        44837 non-null  int32  
 53  DIR18          44837 non-null  int32  
 54  VMAX18         44837 non-null  int32  
 55  DVMAX18        44837 non-null  int32  
 56  MM24           44837 non-null  int32  
 57  DD24           44837 non-null  int32  
 58  HH24           44837 non-null  int32  
 59  MI_STATUS24    44837 non-null  bool   
 60  LI_STATUS24    44837 non-null  bool   
 61  SI_STATUS24    44837 non-null  bool   
 62  DS_STATUS24    44837 non-null  bool   
 63  DIST24         44837 non-null  float64
 64  AZM24          44837 non-null  float64
 65  SPEED24        44837 non-null  int32  
 66  DIR24          44837 non-null  int32  
 67  VMAX24         44837 non-null  int32  
dtypes: bool(24), float64(10), int32(34)
memory usage: 10.3 MB
None
Training set size: 36317; Dev set size: 4036; Testing set size: 4484
[TSNV] MLP Classifier hidden_layer_sizes=(3072, 1024, 1024, 1024, 256), batches 512, regularization alpha=0.01
Iteration 1, loss = 5.07566815
Iteration 2, loss = 0.52109646
Iteration 3, loss = 0.49254062
Iteration 4, loss = 0.47176468
Iteration 5, loss = 0.46467776
Iteration 6, loss = 0.46267487
Iteration 7, loss = 0.45820845
Iteration 8, loss = 0.44905895
Iteration 9, loss = 0.44592584
Iteration 10, loss = 0.43579174
Iteration 11, loss = 0.43468273
Iteration 12, loss = 0.42535431
Iteration 13, loss = 0.42797545
Iteration 14, loss = 0.41687676
Iteration 15, loss = 0.41759091
Iteration 16, loss = 0.42727528
Iteration 17, loss = 0.41143965
Iteration 18, loss = 0.40731083
Iteration 19, loss = 0.41641286
Iteration 20, loss = 0.40209870
Iteration 21, loss = 0.40556279
Iteration 22, loss = 0.40900870
Iteration 23, loss = 0.39554696
Iteration 24, loss = 0.39291187
Iteration 25, loss = 0.39390129
Iteration 26, loss = 0.39019881
Iteration 27, loss = 0.38316208
Iteration 28, loss = 0.40480364
Iteration 29, loss = 0.38890948
Iteration 30, loss = 0.37788786
Iteration 31, loss = 0.38461791
Iteration 32, loss = 0.37632458
Iteration 33, loss = 0.37318756
Iteration 34, loss = 0.36987647
Iteration 35, loss = 0.36148611
Iteration 36, loss = 0.36228150
Iteration 37, loss = 0.36313330
Iteration 38, loss = 0.35716592
Iteration 39, loss = 0.37025427
Iteration 40, loss = 0.34807902
Iteration 41, loss = 0.36112464
Iteration 42, loss = 0.34698141
Iteration 43, loss = 0.34680944
Iteration 44, loss = 0.35129088
Iteration 45, loss = 0.35069998
Iteration 46, loss = 0.33103290
Iteration 47, loss = 0.33858026
Iteration 48, loss = 0.34632251
Iteration 49, loss = 0.33220738
Iteration 50, loss = 0.32397959
Iteration 51, loss = 0.33076292
Iteration 52, loss = 0.31785264
Iteration 53, loss = 0.33274147
Iteration 54, loss = 0.32155420
Iteration 55, loss = 0.31781697
Iteration 56, loss = 0.32529642
Iteration 57, loss = 0.30387791
Iteration 58, loss = 0.30244296
Iteration 59, loss = 0.32012885
Iteration 60, loss = 0.29769330
Iteration 61, loss = 0.30145458
Iteration 62, loss = 0.30135631
Iteration 63, loss = 0.29912647
Iteration 64, loss = 0.30104602
Iteration 65, loss = 0.28831502
Iteration 66, loss = 0.28842921
Iteration 67, loss = 0.29003592
Iteration 68, loss = 0.29608730
Iteration 69, loss = 0.27799560
Iteration 70, loss = 0.28210388
Iteration 71, loss = 0.27801698
Iteration 72, loss = 0.28846918
Iteration 73, loss = 0.27446712
Iteration 74, loss = 0.27293644
Iteration 75, loss = 0.26343387
Iteration 76, loss = 0.26542096
Iteration 77, loss = 0.27407912
Iteration 78, loss = 0.26484318
Iteration 79, loss = 0.24952559
Iteration 80, loss = 0.25874537
Iteration 81, loss = 0.25410382
Iteration 82, loss = 0.25327013
